KLVR Charger Detection Monitor - Started 2025-08-18 11:49:10
Monitoring: https://supply-institution-fellow-databases.trycloudflare.com
============================================================

#  1 11:49:10 | [AA TEST] Total: 33 | Correct AA: 33 | Misdetected as AAA:  0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1540mV | Δ=  50mV
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1588mV | Δ=   6mV
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1588mV | Δ=   6mV
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1560mV | Δ=   8mV
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1630mV | AAA_OFF=1632mV | Δ=  -2mV
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1586mV | AAA_OFF=1588mV | Δ=  -2mV
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1518mV | AAA_OFF=1516mV | Δ=   2mV
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1542mV | Δ=   8mV
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1592mV | Δ=  -2mV
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1602mV | AAA_OFF=1600mV | Δ=   2mV
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1590mV | Δ=   2mV
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1536mV | Δ=   8mV
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1556mV | Δ=  10mV
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1584mV | AAA_OFF=1586mV | Δ=  -2mV
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1590mV | Δ=   4mV
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1552mV | Δ=   2mV
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1588mV | Δ=   8mV
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1594mV | Δ=   0mV
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1572mV | Δ=   8mV
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1556mV | Δ=  -2mV
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1444mV | AAA_OFF=1534mV | Δ= -90mV
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1596mV | Δ=  -4mV
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1538mV | Δ=   6mV
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1620mV | AAA_OFF=1594mV | Δ=  26mV
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1548mV | Δ=   0mV
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1540mV | Δ=   8mV
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1618mV | AAA_OFF=1584mV | Δ=  34mV
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1600mV | AAA_OFF=1594mV | Δ=   6mV
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1564mV | Δ=   8mV
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1554mV | Δ=   2mV
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1614mV | AAA_OFF=1588mV | Δ=  26mV
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1592mV | Δ=   0mV
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1584mV | Δ=  -4mV
#  2 11:49:11 | [AA TEST] Total: 33 | Correct AA: 33 | Misdetected as AAA:  0 | ✅ All correct
#  3 11:49:12 | [AA TEST] Total: 33 | Correct AA: 33 | Misdetected as AAA:  0 | ✅ All correct
#  4 11:49:12 | [AA TEST] Total: 33 | Correct AA: 33 | Misdetected as AAA:  0 | ✅ All correct
#  5 11:49:13 | [AA TEST] Total: 33 | Correct AA: 33 | Misdetected as AAA:  0 | ✅ All correct
#  6 11:49:14 | [AA TEST] Total: 33 | Correct AA: 33 | Misdetected as AAA:  0 | ✅ All correct
