KLVR Charger Detection Monitor - Started 2025-08-18 14:54:08
Monitoring: https://lid-surgery-passport-vanilla.trycloudflare.com
============================================================

#  1 14:54:08 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1590mV | Δ=  -2mV
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1590mV | Δ=   0mV
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1588mV | Δ= -16mV
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1562mV | Δ=   6mV
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1538mV | Δ=   8mV
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1636mV | AAA_OFF=1638mV | Δ=  -2mV
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1588mV | Δ=   6mV
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1520mV | AAA_OFF=1512mV | Δ=   8mV
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1546mV | Δ=   0mV
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1592mV | Δ=   4mV
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1504mV | AAA_OFF=1588mV | Δ= -84mV
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1558mV | Δ=   2mV
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1640mV | AAA_OFF=1614mV | Δ=  26mV
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1616mV | AAA_OFF=1604mV | Δ=  12mV
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1586mV | AAA_OFF=1592mV | Δ=  -6mV
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1546mV | Δ=  22mV
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1610mV | AAA_OFF=1604mV | Δ=   6mV
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1598mV | Δ=  -2mV
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1606mV | AAA_OFF=1590mV | Δ=  16mV
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1614mV | AAA_OFF=1610mV | Δ=   4mV
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1592mV | Δ=   4mV
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1612mV | AAA_OFF=1592mV | Δ=  20mV
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1552mV | Δ=  10mV
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1556mV | Δ=   6mV
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1610mV | AAA_OFF=1600mV | Δ=  10mV
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1594mV | Δ=   2mV
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1538mV | Δ=   8mV
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1558mV | Δ=   0mV
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1584mV | Δ=  -2mV
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1588mV | Δ=   8mV
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1550mV | Δ=   8mV
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1592mV | Δ=   4mV
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1602mV | AAA_OFF=1594mV | Δ=   8mV
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1570mV | Δ=   0mV
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1558mV | Δ=   4mV
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1522mV | AAA_OFF=1520mV | Δ=   2mV
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1594mV | Δ=  -4mV
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1536mV | Δ=  10mV
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1604mV | AAA_OFF=1598mV | Δ=   6mV
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1544mV | Δ=   4mV
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1546mV | Δ=  34mV
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1594mV | Δ=   0mV
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1600mV | AAA_OFF=1594mV | Δ=   6mV
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1564mV | Δ=   8mV
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1546mV | Δ=   2mV
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1590mV | Δ=   6mV
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1590mV | Δ=   2mV
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1584mV | AAA_OFF=1584mV | Δ=   0mV
#  2 14:54:08 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  3 14:54:09 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  4 14:54:10 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  5 14:54:11 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  6 14:54:11 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  7 14:54:12 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  8 14:54:13 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  9 14:54:13 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 10 14:54:14 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 11 14:54:15 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
