KLVR Charger Detection Monitor - Started 2025-08-18 16:04:28
Monitoring: https://albums-mortgages-result-viruses.trycloudflare.com
============================================================

#  1 16:04:28 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1588mV | Δ=   0mV
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1590mV | Δ=   2mV
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1590mV | Δ=   6mV
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1562mV | Δ=   2mV
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1538mV | Δ=   4mV
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1640mV | AAA_OFF=1634mV | Δ=   6mV
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1582mV | Δ=  12mV
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1520mV | AAA_OFF=1512mV | Δ=   8mV
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1542mV | Δ=   6mV
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1604mV | AAA_OFF=1594mV | Δ=  10mV
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1592mV | Δ=   4mV
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1560mV | Δ=   6mV
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1618mV | AAA_OFF=1616mV | Δ=   2mV
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1612mV | AAA_OFF=1608mV | Δ=   4mV
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1590mV | Δ=   8mV
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1554mV | Δ=  14mV
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1612mV | AAA_OFF=1602mV | Δ=  10mV
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1612mV | AAA_OFF=1596mV | Δ=  16mV
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1588mV | Δ=  10mV
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1614mV | AAA_OFF=1612mV | Δ=   2mV
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1588mV | Δ=  10mV
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1590mV | Δ=   8mV
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1550mV | Δ=  -2mV
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1556mV | Δ=  10mV
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1608mV | AAA_OFF=1604mV | Δ=   4mV
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1590mV | Δ=   8mV
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1538mV | Δ=   6mV
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1558mV | Δ=   4mV
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1582mV | Δ=   8mV
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1590mV | Δ=   6mV
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1554mV | Δ=   6mV
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1590mV | Δ=   4mV
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1594mV | Δ=   4mV
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1578mV | AAA_OFF=1578mV | Δ=   0mV
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1552mV | Δ=   4mV
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1522mV | AAA_OFF=1522mV | Δ=   0mV
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1602mV | AAA_OFF=1592mV | Δ=  10mV
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1538mV | Δ=   4mV
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1602mV | AAA_OFF=1600mV | Δ=   2mV
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1546mV | Δ=   6mV
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1548mV | Δ=   2mV
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1592mV | Δ=  -2mV
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1594mV | Δ=   4mV
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1566mV | Δ=   6mV
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1552mV | Δ=  -2mV
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1588mV | Δ=   6mV
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1604mV | AAA_OFF=1588mV | Δ=  16mV
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1582mV | Δ=  -2mV
#  2 16:04:29 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  3 16:04:30 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  4 16:04:30 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  5 16:04:31 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  6 16:04:32 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  7 16:04:32 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  8 16:04:33 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  9 16:04:34 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 10 16:04:35 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 11 16:04:35 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1588mV | Δ=   0mV
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1590mV | Δ=   2mV
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1590mV | Δ=   6mV
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1562mV | Δ=   2mV
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1538mV | Δ=   4mV
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1640mV | AAA_OFF=1634mV | Δ=   6mV
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1582mV | Δ=  12mV
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1520mV | AAA_OFF=1512mV | Δ=   8mV
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1542mV | Δ=   6mV
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1604mV | AAA_OFF=1594mV | Δ=  10mV
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1592mV | Δ=   4mV
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1560mV | Δ=   6mV
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1618mV | AAA_OFF=1616mV | Δ=   2mV
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1612mV | AAA_OFF=1608mV | Δ=   4mV
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1590mV | Δ=   8mV
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1554mV | Δ=  14mV
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1612mV | AAA_OFF=1602mV | Δ=  10mV
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1612mV | AAA_OFF=1596mV | Δ=  16mV
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1588mV | Δ=  10mV
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1614mV | AAA_OFF=1612mV | Δ=   2mV
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1588mV | Δ=  10mV
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1590mV | Δ=   8mV
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1550mV | Δ=  -2mV
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1556mV | Δ=  10mV
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1608mV | AAA_OFF=1604mV | Δ=   4mV
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1590mV | Δ=   8mV
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1538mV | Δ=   6mV
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1558mV | Δ=   4mV
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1582mV | Δ=   8mV
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1590mV | Δ=   6mV
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1554mV | Δ=   6mV
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1590mV | Δ=   4mV
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1594mV | Δ=   4mV
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1578mV | AAA_OFF=1578mV | Δ=   0mV
