KLVR Charger Detection Monitor - Started 2025-08-26 13:28:04
Monitoring: http://10.110.73.155:8000
============================================================

#  1 13:28:04 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1574mV | Δ=  -6mV
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1538mV | AAA_OFF=1514mV | Δ=  24mV
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1580mV | Δ= -30mV
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1558mV | Δ=   6mV
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1586mV | AAA_OFF=1574mV | Δ=  12mV
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1554mV | Δ=  14mV
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1576mV | Δ= -18mV
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1488mV | AAA_OFF=1488mV | Δ=   0mV
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1508mV | AAA_OFF=1504mV | Δ=   4mV
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1490mV | AAA_OFF=1480mV | Δ=  10mV
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1548mV | Δ=  18mV
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1596mV | Δ= -28mV
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1600mV | AAA_OFF=1558mV | Δ=  42mV
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1558mV | Δ=  22mV
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1568mV | Δ=  -2mV
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1482mV | AAA_OFF=1458mV | Δ=  24mV
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1538mV | AAA_OFF=1544mV | Δ=  -6mV
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1568mV | Δ=  -6mV
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1530mV | Δ=  10mV
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1564mV | Δ=  -2mV
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1508mV | AAA_OFF=1512mV | Δ=  -4mV
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1568mV | Δ=  24mV
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1580mV | Δ=  -6mV
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1570mV | Δ=   0mV
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1536mV | Δ=  32mV
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1548mV | Δ=  34mV
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1536mV | Δ=  34mV
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1568mV | Δ=  20mV
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1556mV | Δ=  -4mV
