KLVR Charger Detection Monitor - Started 2025-08-26 13:45:13
Monitoring: http://10.110.73.155:8000
============================================================

#  1 13:45:13 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1550mV | Δ=  -2mV | Cycle=1
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1544mV | Δ=   2mV | Cycle=1
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1562mV | Δ=  -2mV | Cycle=2
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1552mV | Δ=  -6mV | Cycle=3
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1568mV | Δ=   0mV | Cycle=1
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1550mV | Δ=  -2mV | Cycle=2
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1564mV | Δ=   2mV | Cycle=3
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1542mV | Δ=   2mV | Cycle=1
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1556mV | Δ=   2mV | Cycle=2
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1552mV | Δ=   2mV | Cycle=1
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1578mV | AAA_OFF=1578mV | Δ=   0mV | Cycle=1
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1566mV | Δ=   0mV | Cycle=2
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1570mV | Δ=   4mV | Cycle=3
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1586mV | Δ=   2mV | Cycle=2
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=3
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1548mV | Δ=   2mV | Cycle=3
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1542mV | Δ=   4mV | Cycle=3
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1572mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1554mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1556mV | Δ=   4mV | Cycle=1
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1578mV | AAA_OFF=1576mV | Δ=   2mV | Cycle=2
