KLVR Charger Detection Monitor - Started 2025-08-26 15:42:59
Monitoring: http://10.110.73.155:8000
============================================================

#  1 15:43:04 | ❌ Connection failed
#  2 15:43:09 | ❌ Connection failed
#  3 15:43:10 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  4 15:43:11 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  5 15:43:12 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  6 15:43:12 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  7 15:43:13 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  8 15:43:14 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  9 15:43:15 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 10 15:43:15 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 11 15:43:16 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1534mV | AAA_OFF=1530mV | Δ=   0mV | Cycle=2
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1606mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1578mV | AAA_OFF=1578mV | Δ=   0mV | Cycle=1
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1586mV | Δ=   0mV | Cycle=1
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1586mV | Δ=  -4mV | Cycle=1
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
# 12 15:43:17 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 13 15:43:17 | [AA TEST] Total:  3 | Correct AA:  3 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 8 → 3
# 14 15:43:18 | [AA TEST] Total:  3 | Correct AA:  3 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 15 15:43:19 | [AA TEST] Total:  3 | Correct AA:  3 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 16 15:43:20 | [AA TEST] Total:  3 | Correct AA:  3 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 17 15:43:20 | [AA TEST] Total:  3 | Correct AA:  3 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 18 15:43:21 | [AA TEST] Total:  3 | Correct AA:  3 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 19 15:43:22 | [AA TEST] Total:  3 | Correct AA:  3 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 20 15:43:23 | [AA TEST] Total:  3 | Correct AA:  3 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 21 15:43:23 | [AA TEST] Total:  3 | Correct AA:  3 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1600mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1586mV | Δ=  -4mV | Cycle=1
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
# 22 15:43:24 | [AA TEST] Total:  3 | Correct AA:  3 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 23 15:43:25 | [AA TEST] Total:  3 | Correct AA:  3 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 24 15:43:26 | [AA TEST] Total:  3 | Correct AA:  3 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 25 15:43:26 | [AA TEST] Total:  3 | Correct AA:  3 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 26 15:43:27 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 3 → 48
# 27 15:43:28 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 28 15:43:29 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 29 15:43:29 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 30 15:43:30 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
