KLVR Charger Detection Monitor - Started 2025-08-28 13:23:47
Monitoring: http://10.110.73.155:8000
============================================================

#  1 13:23:47 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1326mV | AAA_OFF=1322mV | Δ=   4mV | Cycle=1
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1318mV | AAA_OFF=1312mV | Δ=   6mV | Cycle=2
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1328mV | AAA_OFF=1326mV | Δ=   2mV | Cycle=1
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1316mV | AAA_OFF=1316mV | Δ=   0mV | Cycle=2
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1322mV | AAA_OFF=1322mV | Δ=   0mV | Cycle=2
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1328mV | AAA_OFF=1328mV | Δ=   0mV | Cycle=2
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1328mV | AAA_OFF=1326mV | Δ=   2mV | Cycle=3
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1324mV | AAA_OFF=1316mV | Δ=   8mV | Cycle=2
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1314mV | AAA_OFF=1312mV | Δ=   2mV | Cycle=3
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1310mV | AAA_OFF=1306mV | Δ=   4mV | Cycle=2
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1542mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1548mV | Δ=   4mV | Cycle=1
    ✅ SLOT 12: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1580mV | Δ=   0mV | Cycle=2
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1526mV | AAA_OFF=1530mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1536mV | Δ=   6mV | Cycle=2
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1532mV | Δ=   8mV | Cycle=2
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1558mV | Δ=   6mV | Cycle=2
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1548mV | Δ=   0mV | Cycle=1
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1536mV | AAA_OFF=1532mV | Δ=   4mV | Cycle=2
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=2
    ✅ SLOT 21: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1558mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1564mV | Δ=   2mV | Cycle=3
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1324mV | AAA_OFF=1322mV | Δ=   2mV | Cycle=2
    ✅ SLOT 25: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 26: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1560mV | Δ=   2mV | Cycle=3
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1320mV | AAA_OFF=1318mV | Δ=   2mV | Cycle=3
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1324mV | AAA_OFF=1322mV | Δ=   2mV | Cycle=2
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1326mV | AAA_OFF=1322mV | Δ=   4mV | Cycle=2
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1316mV | AAA_OFF=1312mV | Δ=   4mV | Cycle=2
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1332mV | AAA_OFF=1330mV | Δ=   2mV | Cycle=2
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1556mV | Δ=   2mV | Cycle=3
    ✅ SLOT 34: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1546mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 36: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1572mV | Δ=   4mV | Cycle=1
    ✅ SLOT 38: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 39: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1324mV | AAA_OFF=1320mV | Δ=   4mV | Cycle=2
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1350mV | AAA_OFF=1350mV | Δ=   0mV | Cycle=2
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1332mV | AAA_OFF=1334mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1544mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 44: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1544mV | Δ=   8mV | Cycle=2
    ✅ SLOT 46: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1552mV | Δ=   2mV | Cycle=2
#  2 13:23:48 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  3 13:23:48 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  4 13:23:49 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  5 13:23:50 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
