KLVR Charger Detection Monitor - Started 2025-08-26 14:54:34
Monitoring: http://10.110.73.155:8000
============================================================

#  1 14:54:34 | [AAA TEST] Total: 15 | Detected AAA: 15 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 12: KLVR-AAA | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 13: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1548mV | Δ=   0mV | Cycle=1
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1282mV | AAA_OFF= 948mV | Δ= 334mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1578mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1574mV | AAA_OFF=1572mV | Δ=   0mV | Cycle=2
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1572mV | AAA_OFF=1572mV | Δ=   0mV | Cycle=2
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1548mV | Δ=1540mV | Cycle=1
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1554mV | Δ=1548mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1592mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=1560mV | Cycle=2
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1544mV | Δ=   0mV | Cycle=1
#  2 14:54:35 | [AAA TEST] Total: 15 | Detected AAA: 15 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  3 14:54:35 | [AAA TEST] Total: 15 | Detected AAA: 15 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  4 14:54:36 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    📥 BATTERY COUNT: 15 → 24
#  5 14:54:37 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  6 14:54:38 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  7 14:54:38 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  8 14:54:39 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  9 14:54:40 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 10 14:54:40 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 11 14:54:41 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 12: KLVR-AAA | AAA_ON=1598mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 13: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
