KLVR Charger Detection Monitor - Started 2025-08-26 15:07:09
Monitoring: http://10.110.73.155:8000
============================================================

#  1 15:07:14 | ❌ Connection failed
#  2 15:07:20 | ❌ Connection failed
#  3 15:07:25 | ❌ Connection failed
#  4 15:07:31 | ❌ Connection failed
#  5 15:07:33 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  6 15:07:33 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  7 15:07:34 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  8 15:07:35 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  9 15:07:36 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 10 15:07:36 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 11 15:07:37 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1192mV | Δ= 368mV | Cycle=2
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1204mV | Δ= 342mV | Cycle=1
    ✅ SLOT 26: KLVR-AAA | AAA_ON=1438mV | AAA_OFF=1094mV | Δ= 344mV | Cycle=3
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1248mV | Δ= 302mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1198mV | Δ= 342mV | Cycle=1
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1464mV | AAA_OFF=1122mV | Δ= 342mV | Cycle=1
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1192mV | Δ= 352mV | Cycle=3
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1256mV | Δ= 288mV | Cycle=2
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1198mV | Δ= 348mV | Cycle=3
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1222mV | Δ= 324mV | Cycle=1
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1262mV | Δ= 296mV | Cycle=3
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1252mV | Δ= 294mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1202mV | Δ= 350mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1276mV | Δ= 294mV | Cycle=2
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1572mV | AAA_OFF=1226mV | Δ= 346mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1562mV | AAA_OFF=1262mV | Δ= 300mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1586mV | AAA_OFF=1238mV | Δ= 348mV | Cycle=1
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1228mV | Δ= 312mV | Cycle=3
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1236mV | Δ= 332mV | Cycle=2
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1578mV | AAA_OFF=1282mV | Δ= 296mV | Cycle=3
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1536mV | AAA_OFF=1232mV | Δ= 304mV | Cycle=1
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1574mV | AAA_OFF=1234mV | Δ= 340mV | Cycle=1
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1252mV | Δ= 308mV | Cycle=2
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1192mV | Δ= 352mV | Cycle=3
# 12 15:07:38 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 13 15:07:38 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 14 15:07:39 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 15 15:07:40 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 16 15:07:41 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 17 15:07:41 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 18 15:07:42 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 19 15:07:43 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 20 15:07:44 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 21 15:07:44 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1192mV | Δ= 368mV | Cycle=2
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1204mV | Δ= 342mV | Cycle=1
    ✅ SLOT 26: KLVR-AAA | AAA_ON=1438mV | AAA_OFF=1094mV | Δ= 344mV | Cycle=3
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1248mV | Δ= 310mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1464mV | AAA_OFF=1122mV | Δ= 342mV | Cycle=1
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1236mV | Δ= 306mV | Cycle=3
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1258mV | Δ= 284mV | Cycle=2
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1216mV | Δ= 328mV | Cycle=1
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1222mV | Δ= 324mV | Cycle=1
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1264mV | Δ= 292mV | Cycle=1
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1250mV | Δ= 300mV | Cycle=1
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1202mV | Δ= 350mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1584mV | AAA_OFF=1240mV | Δ= 344mV | Cycle=2
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1572mV | AAA_OFF=1226mV | Δ= 346mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1228mV | Δ= 340mV | Cycle=2
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1582mV | AAA_OFF=1282mV | Δ= 300mV | Cycle=3
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1232mV | Δ= 308mV | Cycle=1
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1206mV | Δ= 350mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1580mV | AAA_OFF=1276mV | Δ= 304mV | Cycle=2
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1538mV | AAA_OFF=1234mV | Δ= 304mV | Cycle=1
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1242mV | Δ= 304mV | Cycle=2
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1580mV | AAA_OFF=1240mV | Δ= 340mV | Cycle=3
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1192mV | Δ= 352mV | Cycle=3
# 22 15:07:45 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 23 15:07:46 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 24 15:07:47 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 25 15:07:47 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 26 15:07:48 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 27 15:07:49 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 28 15:07:50 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 29 15:07:50 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 30 15:07:51 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 31 15:07:52 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1562mV | AAA_OFF=1250mV | Δ= 312mV | Cycle=1
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1204mV | Δ= 342mV | Cycle=1
    ✅ SLOT 26: KLVR-AAA | AAA_ON=1438mV | AAA_OFF=1094mV | Δ= 344mV | Cycle=3
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1240mV | Δ= 312mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1238mV | Δ= 302mV | Cycle=3
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1464mV | AAA_OFF=1122mV | Δ= 342mV | Cycle=1
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1236mV | Δ= 306mV | Cycle=3
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1214mV | Δ= 344mV | Cycle=3
    ✅ SLOT 32: KLVR-AAA | AAA_ON= 308mV | AAA_OFF= 314mV | Δ=   0mV
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1254mV | Δ= 292mV | Cycle=1
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1258mV | Δ= 302mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1236mV | Δ= 310mV | Cycle=2
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1202mV | Δ= 350mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1576mV | AAA_OFF=1264mV | Δ= 312mV | Cycle=1
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1266mV | Δ= 302mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1582mV | AAA_OFF=1286mV | Δ= 296mV | Cycle=3
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1212mV | Δ= 336mV | Cycle=1
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1238mV | Δ= 308mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1576mV | AAA_OFF=1280mV | Δ= 296mV | Cycle=2
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1538mV | AAA_OFF=1234mV | Δ= 304mV | Cycle=3
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1210mV | Δ= 344mV | Cycle=2
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1254mV | Δ= 296mV | Cycle=3
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1192mV | Δ= 352mV | Cycle=3
# 32 15:07:53 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 33 15:07:53 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 34 15:07:54 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 35 15:07:55 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 36 15:07:56 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 37 15:07:56 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 38 15:07:57 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 39 15:07:58 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 40 15:07:59 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 41 15:07:59 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1562mV | AAA_OFF=1250mV | Δ= 312mV | Cycle=1
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1204mV | Δ= 342mV | Cycle=1
    ✅ SLOT 26: KLVR-AAA | AAA_ON=1438mV | AAA_OFF=1094mV | Δ= 344mV | Cycle=3
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1240mV | Δ= 312mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1238mV | Δ= 302mV | Cycle=3
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1464mV | AAA_OFF=1122mV | Δ= 342mV | Cycle=1
