KLVR Charger Detection Monitor - Started 2025-08-28 13:31:08
Monitoring: http://10.110.73.155:8000
============================================================

#  1 13:31:08 | [AAA TEST] Total: 25 | Detected AAA: 25 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 11: KLVR-AAA | AAA_ON=1532mV | AAA_OFF=1194mV | Δ= 338mV | Cycle=2
    ✅ SLOT 12: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1228mV | Δ= 328mV | Cycle=2
    ✅ SLOT 13: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1214mV | Δ= 332mV | Cycle=2
    ✅ SLOT 14: KLVR-AAA | AAA_ON=1528mV | AAA_OFF=1202mV | Δ= 326mV | Cycle=2
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1208mV | AAA_OFF= 878mV | Δ= 330mV | Cycle=2
    ✅ SLOT 26: KLVR-AAA | AAA_ON=1214mV | AAA_OFF= 890mV | Δ= 324mV | Cycle=2
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1216mV | Δ= 326mV | Cycle=2
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1538mV | AAA_OFF=1214mV | Δ= 324mV | Cycle=3
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1216mV | Δ= 328mV | Cycle=3
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1186mV | Δ= 354mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1528mV | AAA_OFF=1210mV | Δ= 318mV | Cycle=3
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1234mV | Δ= 322mV | Cycle=3
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1228mV | Δ= 324mV | Cycle=2
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1536mV | AAA_OFF=1198mV | Δ= 338mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1530mV | AAA_OFF=1198mV | Δ= 332mV | Cycle=2
    ✅ SLOT 36: KLVR-AAA | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1536mV | AAA_OFF=1208mV | Δ= 328mV | Cycle=2
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1224mV | Δ= 324mV | Cycle=2
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1206mV | Δ= 340mV | Cycle=2
    ✅ SLOT 40: KLVR-AAA | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 41: KLVR-AAA | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1204mV | Δ= 366mV | Cycle=3
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1198mV | Δ= 372mV | Cycle=2
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1572mV | AAA_OFF=1202mV | Δ= 370mV | Cycle=2
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1586mV | AAA_OFF=1224mV | Δ= 362mV | Cycle=3
#  2 13:31:08 | [AAA TEST] Total: 25 | Detected AAA: 25 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  3 13:31:09 | [AAA TEST] Total: 25 | Detected AAA: 25 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  4 13:31:10 | [AAA TEST] Total: 25 | Detected AAA: 25 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  5 13:31:11 | [AAA TEST] Total: 25 | Detected AAA: 25 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  6 13:31:11 | [AAA TEST] Total: 25 | Detected AAA: 25 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  7 13:31:12 | [AAA TEST] Total: 25 | Detected AAA: 25 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  8 13:31:13 | [AAA TEST] Total: 25 | Detected AAA: 25 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  9 13:31:14 | [AAA TEST] Total: 25 | Detected AAA: 25 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 10 13:31:14 | [AAA TEST] Total: 25 | Detected AAA: 25 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 11 13:31:15 | [AAA TEST] Total: 25 | Detected AAA: 25 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 11: KLVR-AAA | AAA_ON=1532mV | AAA_OFF=1194mV | Δ= 338mV | Cycle=2
    ✅ SLOT 12: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1228mV | Δ= 328mV | Cycle=2
    ✅ SLOT 13: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1214mV | Δ= 332mV | Cycle=2
    ✅ SLOT 14: KLVR-AAA | AAA_ON=1528mV | AAA_OFF=1202mV | Δ= 326mV | Cycle=2
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1208mV | AAA_OFF= 878mV | Δ= 330mV | Cycle=2
    ✅ SLOT 26: KLVR-AAA | AAA_ON=1214mV | AAA_OFF= 890mV | Δ= 324mV | Cycle=2
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1216mV | Δ= 326mV | Cycle=2
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1538mV | AAA_OFF=1214mV | Δ= 324mV | Cycle=3
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1216mV | Δ= 328mV | Cycle=3
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1186mV | Δ= 354mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1528mV | AAA_OFF=1210mV | Δ= 318mV | Cycle=3
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1234mV | Δ= 322mV | Cycle=3
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1228mV | Δ= 324mV | Cycle=2
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1536mV | AAA_OFF=1198mV | Δ= 338mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1530mV | AAA_OFF=1198mV | Δ= 332mV | Cycle=2
    ✅ SLOT 36: KLVR-AAA | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1536mV | AAA_OFF=1208mV | Δ= 328mV | Cycle=2
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1224mV | Δ= 324mV | Cycle=2
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1206mV | Δ= 340mV | Cycle=2
    ✅ SLOT 40: KLVR-AAA | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 41: KLVR-AAA | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1204mV | Δ= 366mV | Cycle=3
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1198mV | Δ= 372mV | Cycle=2
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1572mV | AAA_OFF=1202mV | Δ= 370mV | Cycle=2
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1586mV | AAA_OFF=1224mV | Δ= 362mV | Cycle=3
