KLVR Charger Detection Monitor - Started 2025-08-18 13:29:38
Monitoring: https://incorporated-unusual-trust-enjoyed.trycloudflare.com
============================================================

#  1 13:29:39 | [BOTH] Total: 48 | AA: 48 | AAA:  0
    📊 SLOT  0: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1586mV | Δ=   6mV
    📊 SLOT  1: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1588mV | Δ=   8mV
    📊 SLOT  2: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1590mV | Δ=   2mV
    📊 SLOT  3: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1562mV | Δ=   8mV
    📊 SLOT  4: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1538mV | Δ=   8mV
    📊 SLOT  5: KLVR-AA  | AAA_ON=1636mV | AAA_OFF=1630mV | Δ=   6mV
    📊 SLOT  6: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1590mV | Δ=   6mV
    📊 SLOT  7: KLVR-AA  | AAA_ON=1520mV | AAA_OFF=1516mV | Δ=   4mV
    📊 SLOT  8: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1544mV | Δ=   8mV
    📊 SLOT  9: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1596mV | Δ=   2mV
    📊 SLOT 10: KLVR-AA  | AAA_ON=1584mV | AAA_OFF=1588mV | Δ=  -4mV
    📊 SLOT 11: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1558mV | Δ=   8mV
    📊 SLOT 12: KLVR-AA  | AAA_ON=1618mV | AAA_OFF=1612mV | Δ=   6mV
    📊 SLOT 13: KLVR-AA  | AAA_ON=1608mV | AAA_OFF=1610mV | Δ=  -2mV
    📊 SLOT 14: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1592mV | Δ=   0mV
    📊 SLOT 15: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1556mV | Δ=   8mV
    📊 SLOT 16: KLVR-AA  | AAA_ON=1608mV | AAA_OFF=1596mV | Δ=  12mV
    📊 SLOT 17: KLVR-AA  | AAA_ON=1600mV | AAA_OFF=1596mV | Δ=   4mV
    📊 SLOT 18: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1590mV | Δ=   8mV
    📊 SLOT 19: KLVR-AA  | AAA_ON=1616mV | AAA_OFF=1608mV | Δ=   8mV
    📊 SLOT 20: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1590mV | Δ=   4mV
    📊 SLOT 21: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1590mV | Δ=   6mV
    📊 SLOT 22: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1552mV | Δ=  -4mV
    📊 SLOT 23: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1558mV | Δ=   4mV
    📊 SLOT 24: KLVR-AA  | AAA_ON=1608mV | AAA_OFF=1604mV | Δ=   4mV
    📊 SLOT 25: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1594mV | Δ=   4mV
    📊 SLOT 26: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1544mV | Δ=   0mV
    📊 SLOT 27: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1560mV | Δ=   0mV
    📊 SLOT 28: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1582mV | Δ=   6mV
    📊 SLOT 29: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1588mV | Δ=   4mV
    📊 SLOT 30: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1552mV | Δ=   6mV
    📊 SLOT 31: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1592mV | Δ=   2mV
    📊 SLOT 32: KLVR-AA  | AAA_ON=1600mV | AAA_OFF=1594mV | Δ=   6mV
    📊 SLOT 33: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1570mV | Δ=   6mV
    📊 SLOT 34: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1552mV | Δ=   6mV
    📊 SLOT 35: KLVR-AA  | AAA_ON=1520mV | AAA_OFF=1530mV | Δ= -10mV
    📊 SLOT 36: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1592mV | Δ=   6mV
    📊 SLOT 37: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1538mV | Δ=   2mV
    📊 SLOT 38: KLVR-AA  | AAA_ON=1600mV | AAA_OFF=1596mV | Δ=   4mV
    📊 SLOT 39: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1546mV | Δ=   8mV
    📊 SLOT 40: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1548mV | Δ=   0mV
    📊 SLOT 41: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1588mV | Δ=   2mV
    📊 SLOT 42: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1594mV | Δ=   2mV
    📊 SLOT 43: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV
    📊 SLOT 44: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1550mV | Δ=   6mV
    📊 SLOT 45: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1594mV | Δ=   2mV
    📊 SLOT 46: KLVR-AA  | AAA_ON=1600mV | AAA_OFF=1592mV | Δ=   8mV
    📊 SLOT 47: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1586mV | Δ=  -4mV
#  2 13:29:39 | [BOTH] Total: 48 | AA: 48 | AAA:  0
#  3 13:29:40 | [BOTH] Total: 48 | AA: 48 | AAA:  0
#  4 13:29:41 | [BOTH] Total: 48 | AA: 48 | AAA:  0
#  5 13:29:41 | [BOTH] Total: 48 | AA: 48 | AAA:  0
#  6 13:29:42 | [BOTH] Total: 48 | AA: 48 | AAA:  0
#  7 13:29:43 | [BOTH] Total: 48 | AA: 48 | AAA:  0
#  8 13:29:43 | [BOTH] Total: 48 | AA: 48 | AAA:  0
#  9 13:29:44 | [BOTH] Total: 48 | AA: 48 | AAA:  0
# 10 13:29:45 | [BOTH] Total: 48 | AA: 48 | AAA:  0
# 11 13:29:45 | [BOTH] Total: 48 | AA: 48 | AAA:  0
    📊 SLOT  0: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1586mV | Δ=   6mV
    📊 SLOT  1: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1588mV | Δ=   8mV
    📊 SLOT  2: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1590mV | Δ=   2mV
    📊 SLOT  3: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1562mV | Δ=   8mV
    📊 SLOT  4: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1538mV | Δ=   8mV
    📊 SLOT  5: KLVR-AA  | AAA_ON=1636mV | AAA_OFF=1630mV | Δ=   6mV
    📊 SLOT  6: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1590mV | Δ=   6mV
    📊 SLOT  7: KLVR-AA  | AAA_ON=1520mV | AAA_OFF=1516mV | Δ=   4mV
    📊 SLOT  8: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1544mV | Δ=   8mV
    📊 SLOT  9: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1596mV | Δ=   2mV
    📊 SLOT 10: KLVR-AA  | AAA_ON=1584mV | AAA_OFF=1588mV | Δ=  -4mV
    📊 SLOT 11: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1558mV | Δ=   8mV
    📊 SLOT 12: KLVR-AA  | AAA_ON=1618mV | AAA_OFF=1612mV | Δ=   6mV
    📊 SLOT 13: KLVR-AA  | AAA_ON=1608mV | AAA_OFF=1610mV | Δ=  -2mV
    📊 SLOT 14: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1592mV | Δ=   0mV
    📊 SLOT 15: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1556mV | Δ=   8mV
    📊 SLOT 16: KLVR-AA  | AAA_ON=1608mV | AAA_OFF=1596mV | Δ=  12mV
    📊 SLOT 17: KLVR-AA  | AAA_ON=1600mV | AAA_OFF=1596mV | Δ=   4mV
    📊 SLOT 18: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1590mV | Δ=   8mV
    📊 SLOT 19: KLVR-AA  | AAA_ON=1616mV | AAA_OFF=1608mV | Δ=   8mV
    📊 SLOT 20: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1590mV | Δ=   4mV
    📊 SLOT 21: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1590mV | Δ=   6mV
    📊 SLOT 22: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1552mV | Δ=  -4mV
    📊 SLOT 23: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1558mV | Δ=   4mV
    📊 SLOT 24: KLVR-AA  | AAA_ON=1608mV | AAA_OFF=1604mV | Δ=   4mV
    📊 SLOT 25: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1594mV | Δ=   4mV
    📊 SLOT 26: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1544mV | Δ=   0mV
    📊 SLOT 27: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1560mV | Δ=   0mV
    📊 SLOT 28: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1582mV | Δ=   6mV
    📊 SLOT 29: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1588mV | Δ=   4mV
    📊 SLOT 30: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1552mV | Δ=   6mV
    📊 SLOT 31: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1592mV | Δ=   2mV
    📊 SLOT 32: KLVR-AA  | AAA_ON=1600mV | AAA_OFF=1594mV | Δ=   6mV
    📊 SLOT 33: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1570mV | Δ=   6mV
    📊 SLOT 34: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1552mV | Δ=   6mV
    📊 SLOT 35: KLVR-AA  | AAA_ON=1520mV | AAA_OFF=1530mV | Δ= -10mV
    📊 SLOT 36: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1592mV | Δ=   6mV
    📊 SLOT 37: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1538mV | Δ=   2mV
    📊 SLOT 38: KLVR-AA  | AAA_ON=1600mV | AAA_OFF=1596mV | Δ=   4mV
    📊 SLOT 39: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1546mV | Δ=   8mV
    📊 SLOT 40: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1548mV | Δ=   0mV
    📊 SLOT 41: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1588mV | Δ=   2mV
    📊 SLOT 42: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1594mV | Δ=   2mV
    📊 SLOT 43: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV
    📊 SLOT 44: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1550mV | Δ=   6mV
    📊 SLOT 45: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1594mV | Δ=   2mV
    📊 SLOT 46: KLVR-AA  | AAA_ON=1600mV | AAA_OFF=1592mV | Δ=   8mV
    📊 SLOT 47: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1586mV | Δ=  -4mV
# 12 13:29:46 | [BOTH] Total: 48 | AA: 48 | AAA:  0
# 13 13:29:47 | [BOTH] Total: 48 | AA: 48 | AAA:  0
# 14 13:29:47 | [BOTH] Total: 48 | AA: 48 | AAA:  0
# 15 13:29:48 | [BOTH] Total: 48 | AA: 48 | AAA:  0
# 16 13:29:49 | [BOTH] Total: 48 | AA: 48 | AAA:  0
# 17 13:29:49 | [BOTH] Total: 48 | AA: 48 | AAA:  0
# 18 13:29:50 | [BOTH] Total: 48 | AA: 48 | AAA:  0
# 19 13:29:51 | [BOTH] Total: 48 | AA: 48 | AAA:  0
# 20 13:29:51 | [BOTH] Total: 48 | AA: 48 | AAA:  0
# 21 13:29:52 | [BOTH] Total: 48 | AA: 48 | AAA:  0
    📊 SLOT  0: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1586mV | Δ=   6mV
    📊 SLOT  1: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1588mV | Δ=   8mV
    📊 SLOT  2: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1590mV | Δ=   2mV
    📊 SLOT  3: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1562mV | Δ=   8mV
    📊 SLOT  4: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1538mV | Δ=   8mV
    📊 SLOT  5: KLVR-AA  | AAA_ON=1636mV | AAA_OFF=1630mV | Δ=   6mV
    📊 SLOT  6: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1590mV | Δ=   6mV
    📊 SLOT  7: KLVR-AA  | AAA_ON=1520mV | AAA_OFF=1516mV | Δ=   4mV
    📊 SLOT  8: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1544mV | Δ=   8mV
    📊 SLOT  9: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1596mV | Δ=   2mV
    📊 SLOT 10: KLVR-AA  | AAA_ON=1584mV | AAA_OFF=1588mV | Δ=  -4mV
    📊 SLOT 11: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1558mV | Δ=   8mV
    📊 SLOT 12: KLVR-AA  | AAA_ON=1618mV | AAA_OFF=1612mV | Δ=   6mV
    📊 SLOT 13: KLVR-AA  | AAA_ON=1608mV | AAA_OFF=1610mV | Δ=  -2mV
    📊 SLOT 14: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1592mV | Δ=   0mV
    📊 SLOT 15: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1556mV | Δ=   8mV
    📊 SLOT 16: KLVR-AA  | AAA_ON=1608mV | AAA_OFF=1596mV | Δ=  12mV
    📊 SLOT 17: KLVR-AA  | AAA_ON=1600mV | AAA_OFF=1596mV | Δ=   4mV
    📊 SLOT 18: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1590mV | Δ=   8mV
    📊 SLOT 19: KLVR-AA  | AAA_ON=1616mV | AAA_OFF=1608mV | Δ=   8mV
    📊 SLOT 20: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1590mV | Δ=   4mV
    📊 SLOT 21: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1590mV | Δ=   6mV
    📊 SLOT 22: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1552mV | Δ=  -4mV
    📊 SLOT 23: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1558mV | Δ=   4mV
    📊 SLOT 24: KLVR-AA  | AAA_ON=1608mV | AAA_OFF=1604mV | Δ=   4mV
    📊 SLOT 25: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1594mV | Δ=   4mV
    📊 SLOT 26: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1544mV | Δ=   0mV
    📊 SLOT 27: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1560mV | Δ=   0mV
    📊 SLOT 28: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1582mV | Δ=   6mV
    📊 SLOT 29: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1588mV | Δ=   4mV
    📊 SLOT 30: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1552mV | Δ=   6mV
    📊 SLOT 31: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1592mV | Δ=   2mV
    📊 SLOT 32: KLVR-AA  | AAA_ON=1600mV | AAA_OFF=1594mV | Δ=   6mV
    📊 SLOT 33: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1570mV | Δ=   6mV
    📊 SLOT 34: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1552mV | Δ=   6mV
    📊 SLOT 35: KLVR-AA  | AAA_ON=1520mV | AAA_OFF=1530mV | Δ= -10mV
    📊 SLOT 36: KLVR-AA  | AAA_ON=1598mV | AAA_OFF=1592mV | Δ=   6mV
    📊 SLOT 37: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1538mV | Δ=   2mV
    📊 SLOT 38: KLVR-AA  | AAA_ON=1600mV | AAA_OFF=1596mV | Δ=   4mV
