KLVR Charger Detection Monitor - Started 2025-08-21 17:05:36
Monitoring: http://10.110.73.155:8000
============================================================

#  1 17:05:36 | [BOTH] Total: 48 | AA: 48 | AAA:  0
    📊 SLOT  0: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1548mV | Δ=   8mV
    📊 SLOT  1: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1542mV | Δ=   0mV
    📊 SLOT  2: KLVR-AA  | AAA_ON=1538mV | AAA_OFF=1532mV | Δ=   6mV
    📊 SLOT  3: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1560mV | Δ=   4mV
    📊 SLOT  4: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1546mV | Δ=   2mV
    📊 SLOT  5: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1536mV | Δ=   4mV
    📊 SLOT  6: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1534mV | Δ=   6mV
    📊 SLOT  7: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1544mV | Δ=   6mV
    📊 SLOT  8: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1546mV | Δ=   2mV
    📊 SLOT  9: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1554mV | Δ=  12mV
    📊 SLOT 10: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1556mV | Δ=  -8mV
    📊 SLOT 11: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1554mV | Δ=   6mV
    📊 SLOT 12: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1544mV | Δ=   2mV
    📊 SLOT 13: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1540mV | Δ=  12mV
    📊 SLOT 14: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1540mV | Δ=   2mV
    📊 SLOT 15: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1556mV | Δ=  10mV
    📊 SLOT 16: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1550mV | Δ=   4mV
    📊 SLOT 17: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1562mV | Δ=   4mV
    📊 SLOT 18: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1548mV | Δ=   4mV
    📊 SLOT 19: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1548mV | Δ=   6mV
    📊 SLOT 20: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1558mV | Δ=   0mV
    📊 SLOT 21: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1566mV | Δ=   6mV
    📊 SLOT 22: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1558mV | Δ=   2mV
    📊 SLOT 23: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1534mV | Δ=   6mV
    📊 SLOT 24: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1550mV | Δ=   6mV
    📊 SLOT 25: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1560mV | Δ=  10mV
    📊 SLOT 26: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1560mV | Δ=   0mV
    📊 SLOT 27: KLVR-AA  | AAA_ON=1532mV | AAA_OFF=1530mV | Δ=   2mV
    📊 SLOT 28: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1556mV | Δ=   8mV
    📊 SLOT 29: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1556mV | Δ=   8mV
    📊 SLOT 30: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1554mV | Δ=   4mV
    📊 SLOT 31: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1544mV | Δ=   0mV
    📊 SLOT 32: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1550mV | Δ=  12mV
    📊 SLOT 33: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1568mV | Δ=   2mV
    📊 SLOT 34: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1564mV | Δ=  10mV
    📊 SLOT 35: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1564mV | Δ=   2mV
    📊 SLOT 36: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1570mV | Δ=  12mV
    📊 SLOT 37: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1544mV | Δ=  10mV
    📊 SLOT 38: KLVR-AA  | AAA_ON=1578mV | AAA_OFF=1576mV | Δ=   2mV
    📊 SLOT 39: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1564mV | Δ=   8mV
    📊 SLOT 40: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1564mV | Δ=  10mV
    📊 SLOT 41: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1562mV | Δ=  10mV
    📊 SLOT 42: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1548mV | Δ=   8mV
    📊 SLOT 43: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1552mV | Δ=   8mV
    📊 SLOT 44: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1554mV | Δ=   6mV
    📊 SLOT 45: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1556mV | Δ=   6mV
    📊 SLOT 46: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1556mV | Δ=  10mV
    📊 SLOT 47: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1558mV | Δ=  -4mV
#  2 17:05:37 | [BOTH] Total: 48 | AA: 48 | AAA:  0
#  3 17:05:37 | [BOTH] Total: 48 | AA: 48 | AAA:  0
#  4 17:05:38 | [BOTH] Total: 48 | AA: 48 | AAA:  0
#  5 17:05:39 | [BOTH] Total: 48 | AA: 48 | AAA:  0
#  6 17:05:39 | [BOTH] Total: 48 | AA: 48 | AAA:  0
#  7 17:05:40 | [BOTH] Total: 48 | AA: 48 | AAA:  0
#  8 17:05:41 | [BOTH] Total: 48 | AA: 48 | AAA:  0
#  9 17:05:41 | [BOTH] Total: 48 | AA: 48 | AAA:  0
# 10 17:05:42 | [BOTH] Total: 48 | AA: 48 | AAA:  0
# 11 17:05:42 | [BOTH] Total: 48 | AA: 48 | AAA:  0
    📊 SLOT  0: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1548mV | Δ=   8mV
    📊 SLOT  1: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1542mV | Δ=   0mV
    📊 SLOT  2: KLVR-AA  | AAA_ON=1538mV | AAA_OFF=1532mV | Δ=   6mV
    📊 SLOT  3: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1560mV | Δ=   4mV
    📊 SLOT  4: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1546mV | Δ=   2mV
    📊 SLOT  5: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1536mV | Δ=   4mV
    📊 SLOT  6: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1534mV | Δ=   6mV
    📊 SLOT  7: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1544mV | Δ=   6mV
    📊 SLOT  8: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1546mV | Δ=   2mV
    📊 SLOT  9: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1554mV | Δ=  12mV
    📊 SLOT 10: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1556mV | Δ=  -8mV
    📊 SLOT 11: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1554mV | Δ=   6mV
    📊 SLOT 12: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1544mV | Δ=   2mV
    📊 SLOT 13: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1540mV | Δ=  12mV
    📊 SLOT 14: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1540mV | Δ=   2mV
    📊 SLOT 15: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1556mV | Δ=  10mV
    📊 SLOT 16: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1550mV | Δ=   4mV
    📊 SLOT 17: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1562mV | Δ=   4mV
    📊 SLOT 18: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1548mV | Δ=   4mV
    📊 SLOT 19: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1548mV | Δ=   6mV
    📊 SLOT 20: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1558mV | Δ=   0mV
    📊 SLOT 21: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1566mV | Δ=   6mV
    📊 SLOT 22: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1558mV | Δ=   2mV
    📊 SLOT 23: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1534mV | Δ=   6mV
    📊 SLOT 24: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1550mV | Δ=   6mV
    📊 SLOT 25: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1560mV | Δ=  10mV
    📊 SLOT 26: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1560mV | Δ=   0mV
    📊 SLOT 27: KLVR-AA  | AAA_ON=1532mV | AAA_OFF=1530mV | Δ=   2mV
    📊 SLOT 28: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1556mV | Δ=   8mV
    📊 SLOT 29: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1556mV | Δ=   8mV
    📊 SLOT 30: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1554mV | Δ=   4mV
    📊 SLOT 31: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1544mV | Δ=   0mV
    📊 SLOT 32: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1550mV | Δ=  12mV
    📊 SLOT 33: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1568mV | Δ=   2mV
    📊 SLOT 34: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1564mV | Δ=  10mV
    📊 SLOT 35: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1564mV | Δ=   2mV
    📊 SLOT 36: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1570mV | Δ=  12mV
    📊 SLOT 37: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1544mV | Δ=  10mV
    📊 SLOT 38: KLVR-AA  | AAA_ON=1578mV | AAA_OFF=1576mV | Δ=   2mV
    📊 SLOT 39: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1564mV | Δ=   8mV
    📊 SLOT 40: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1564mV | Δ=  10mV
    📊 SLOT 41: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1562mV | Δ=  10mV
    📊 SLOT 42: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1548mV | Δ=   8mV
    📊 SLOT 43: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1552mV | Δ=   8mV
    📊 SLOT 44: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1554mV | Δ=   6mV
    📊 SLOT 45: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1556mV | Δ=   6mV
    📊 SLOT 46: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1556mV | Δ=  10mV
    📊 SLOT 47: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1558mV | Δ=  -4mV
# 12 17:05:43 | [BOTH] Total: 48 | AA: 48 | AAA:  0
# 13 17:05:44 | [BOTH] Total: 48 | AA: 48 | AAA:  0
# 14 17:05:44 | [BOTH] Total: 48 | AA: 48 | AAA:  0
# 15 17:05:45 | [BOTH] Total: 48 | AA: 48 | AAA:  0
# 16 17:05:46 | [BOTH] Total: 48 | AA: 48 | AAA:  0
# 17 17:05:46 | [BOTH] Total: 48 | AA: 48 | AAA:  0
# 18 17:05:47 | [BOTH] Total: 48 | AA: 48 | AAA:  0
# 19 17:05:48 | [BOTH] Total: 48 | AA: 48 | AAA:  0
# 20 17:05:48 | [BOTH] Total: 48 | AA: 48 | AAA:  0
